title,journal,date,doi,first_author,pdf_url,collections
Development of a Deep Learning model Tailored for HER2 Detection in Breast Cancer to aid pathologists in interpreting HER2-Low cases,bioRxiv,2024-07-03,10.1101/2024.07.01.601397,Pierre-Antoine Bannier,https://www.biorxiv.org/content/10.1101/2024.07.01.601397v1.full.pdf,HER2 | Breast Cancer | Full Workflows | Owkin | Gustave Roussy | Peter Mac
MorphoITH: A Framework for Deconvolving Intra-Tumor Heterogeneity Using Tissue Morphology,arXiv,2025-02-03,10.48550/ARXIV.2502.00979,Aleksandra Weronika Nielsen,https://arxiv.org/pdf/2502.00979.pdf,"Spatial Biomarkers | Tumor Heterogeneity | Spatial Analysis | Rajaram, Satwik | MorphoITH"
Copresheaf Topological Neural Networks: A Generalized Deep Learning Framework,NeurIPS 2025,2025/10/29,,Mustafa Hajij,,"GNNs | Topological Deep Learning | AI Toolboxes, Frameworks, Pipelines | MCML | TUM"
ReStainGAN: Leveraging IHC to IF Stain Domain Translation for in-silico Data Generation,MIDL 2024,2024-03-11,10.48550/arXiv.2403.06545,Dominik Winter,https://arxiv.org/pdf/2403.06545.pdf,IHC | Generative AI | GANs | Stain Translation | AstraZeneca
A Closer Look at Domain Shift for Deep Learning in Histopathology,MICCAI 2019,2019-09-26,10.48550/arXiv.1909.11575,Karin Stacke,https://arxiv.org/pdf/1909.11575.pdf,"Domain Adaptation and Transfer | Robustness, Uncertainty, Out-of-distribution Detection | Sectra | CMIV Linköping"
From Entropy to Epiplexity: Rethinking Information for Computationally Bounded Intelligence,arXiv,2026-01-06,10.48550/arXiv.2601.03220,Marc Finzi,https://arxiv.org/pdf/2601.03220.pdf,"Robustness, Uncertainty, Out-of-distribution Detection | NYU | Wilson, Andrew Gordon"
Pathology Foundation Models are Scanner Sensitive: Benchmark and Mitigation with Contrastive ScanGen Loss,MICCAI 2025,2025-07-29,10.48550/ARXIV.2507.22092,Gianluca Carloni,https://arxiv.org/pdf/2507.22092.pdf,"Foundation Models | Robustness, Uncertainty, Out-of-distribution Detection | Scanning | Lunit"
The Ontoverse: Democratising Access to Knowledge Graph-based Data Through a Cartographic Interface,arXiv,2024-07-22,10.48550/ARXIV.2408.03339,Johannes Zimmermann,https://arxiv.org/pdf/2408.03339.pdf,Knowledge Graphs | Knowledge Management | AstraZeneca | U Edinburgh
Knowledge Graph Structure as Prompt: Improving Small Language Models Capabilities for Knowledge-based Causal Discovery,arXiv,2024-07-30,10.48550/arXiv.2407.18752,Yuni Susanti,https://arxiv.org/pdf/2407.18752.pdf,"LLMs, NLP | Causal Discovery | Knowledge Graphs | KIT"
In-situ graph reasoning and knowledge expansion using Graph-PReFLexOR,arXiv,2025-01-14,10.48550/ARXIV.2501.08120,Markus J. Buehler,https://arxiv.org/pdf/2501.08120.pdf,"Graph-based | Reasoning, Hypothesis Generation | Knowledge Graphs | MIT | Buehler, Markus | Graph-PReFLexOR"
The Inefficiency of Genetic Programming for Symbolic Regression -- Extended Version,PPSN 2024,2024-04-26,10.48550/ARXIV.2404.17292,Gabriel Kronberger,https://arxiv.org/pdf/2404.17292.pdf,Symbolic Regression
Do computer vision foundation models learn the low-level characteristics of the human visual system?,CVPR 2025,2025-02-27,10.48550/ARXIV.2502.20256,Yancheng Cai,https://arxiv.org/pdf/2502.20256.pdf,Foundation Models
Towards Robust Foundation Models for Digital Pathology,arXiv,2025-07-22,10.48550/arXiv.2507.17845,Jonah Kömen,https://arxiv.org/pdf/2507.17845.pdf,"Foundation Models | Robustness, Uncertainty, Out-of-distribution Detection | AIgnostics | BIFOLD | MPI for Informatics"
Do Histopathological Foundation Models Eliminate Batch Effects? A Comparative Study,arXiv,2024-11-08,10.48550/ARXIV.2411.05489,Jonah Kömen,https://arxiv.org/pdf/2411.05489.pdf,"Foundation Models | Robustness, Uncertainty, Out-of-distribution Detection | AIgnostics | BIFOLD"
Breaking the Sorting Barrier for Directed Single-Source Shortest Paths,STOC 2025,2025-07-30,10.48550/arXiv.2504.17033,Ran Duan,https://arxiv.org/pdf/2504.17033.pdf,Spatial Analysis
